id,county_fips,type,name,address,phone,email,website_url,hours,notes
usda-37001,37001,usda_service_center,Alamance USDA Service Center,"8239 George Flats, NC",(522) 940-6241,alamance.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37001,37001,extension_office,Alamance County Extension Office,"640 Susan Ports, NC",(262) 326-6387,alamance@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37003,37003,usda_service_center,Alexander USDA Service Center,"4680 Ritter Streets Apt. 497, NC",(676) 208-3555,alexander.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37003,37003,extension_office,Alexander County Extension Office,"10506 Jesse Estates Suite 040, NC",(603) 527-1613,alexander@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37005,37005,usda_service_center,Alleghany USDA Service Center,"74876 Goodman Spring, NC",(963) 681-2421,alleghany.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37005,37005,extension_office,Alleghany County Extension Office,"44336 Mary Station, NC",(508) 298-1130,alleghany@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37007,37007,usda_service_center,Anson USDA Service Center,"105 Marsh Shores Suite 027, NC",(787) 522-1806,anson.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37007,37007,extension_office,Anson County Extension Office,"30145 Caitlin Drives, NC",(512) 743-9922,anson@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37009,37009,usda_service_center,Ashe USDA Service Center,"1853 Wendy Pine Apt. 270, NC",(413) 332-1350,ashe.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37009,37009,extension_office,Ashe County Extension Office,"2071 Hall Corners, NC",(294) 707-1069,ashe@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37011,37011,usda_service_center,Avery USDA Service Center,"75754 Watson Lights, NC",(738) 419-3793,avery.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37011,37011,extension_office,Avery County Extension Office,"950 Gilbert Crescent Suite 254, NC",(502) 903-3421,avery@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37013,37013,usda_service_center,Beaufort USDA Service Center,"4483 Martinez Unions Apt. 649, NC",(353) 584-5252,beaufort.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37013,37013,extension_office,Beaufort County Extension Office,"882 Marcus Mount Apt. 324, NC",(360) 626-2469,beaufort@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37015,37015,usda_service_center,Bertie USDA Service Center,"67454 Jessica Mountain Suite 425, NC",(926) 842-8266,bertie.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37015,37015,extension_office,Bertie County Extension Office,"353 Bradley Road Suite 363, NC",(366) 605-7599,bertie@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37017,37017,usda_service_center,Bladen USDA Service Center,"762 Lopez Pass Suite 433, NC",(820) 854-6386,bladen.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37017,37017,extension_office,Bladen County Extension Office,"58206 Brown Village, NC",(295) 859-4883,bladen@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37019,37019,usda_service_center,Brunswick USDA Service Center,"96114 Ryan Mount, NC",(899) 870-9351,brunswick.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37019,37019,extension_office,Brunswick County Extension Office,"71480 Monroe Flat, NC",(223) 432-1747,brunswick@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37021,37021,usda_service_center,Buncombe USDA Service Center,"3937 Robin Meadows Apt. 411, NC",(307) 923-7441,buncombe.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37021,37021,extension_office,Buncombe County Extension Office,"126 Deleon Fords Apt. 752, NC",(891) 876-5940,buncombe@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37023,37023,usda_service_center,Burke USDA Service Center,"1518 Morgan Terrace Suite 925, NC",(340) 653-4147,burke.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37023,37023,extension_office,Burke County Extension Office,"014 Frey Greens Suite 299, NC",(967) 527-3467,burke@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37025,37025,usda_service_center,Cabarrus USDA Service Center,"7111 Jason Valleys Suite 450, NC",(971) 370-5060,cabarrus.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
ext-37025,37025,extension_office,Cabarrus County Extension Office,"778 Monica Harbors Apt. 235, NC",(652) 361-2607,cabarrus@ces.ncsu.edu,https://www.ces.ncsu.edu/local-county-center/,Mon-Fri 8:30 AM - 5:00 PM,"Local support for drought planning, records prep, and applications."
usda-37027,37027,usda_service_center,Caldwell USDA Service Center,"3342 West Avenue Apt. 285, NC",(264) 489-4126,caldwell.fsa@usda.gov,https://offices.sc.egov.usda.gov/locator/app,Mon-Fri 8:00 AM - 4:30 PM,"Primary intake for FSA, NRCS, and disaster filings."
